"Familiarity","WillingnessToTry","Interest","FlyingExperience","AirshowExperience","PerceivedReliability","EnvironmentalConcern","WillingnessToPay","ImportanceOfTimeSavings","ImportanceOfTrafficAvoidance","ImportanceOfConvenience","ImportanceOfEnvBenefits","ComfortWithFlying","MainConcern","DemonstrationInterest","AAMUseCases","OhioTesting","AgeGroup","IncomeLevel","AreaType","enc_WillingnessToTry","enc_Interest","enc_PerceivedReliability","enc_EnvironmentalConcern","enc_ComfortWithFlying","enc_FlyingExperience","enc_AirshowExperience","enc_DemonstrationInterest","enc_OhioTesting","enc_WillingnessToPay","enc_IncomeLevel","enc_AreaType"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Slightly important","Up to 25% more",1,2,3,4,"Somewhat comfortable","Falling","Yes","Time crunch","Yes","18 - 25","Less than $25,000","Suburban","1","2","0","-1","1",1,"1","1","1","0.25","1","2"
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","No more than a regular taxi/ride-share",2,1,3,4,"Somewhat uncomfortable","The inevitable loss of innocent lives in the process.  The extravagance of a first world country using the worlds natural resources to eliminate an inconvenience seems arrogant.","No",NA,"Maybe","46 - 55",NA,"Suburban","-2","-2","1","0","-1",1,"1","-1","0","0",NA,"2"
"Yes","Extremely likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","Up to 25% more",1,2,3,4,"Somewhat comfortable","safety","Yes",NA,"Maybe","56+","Over $150,000","Rural","2","1","1","0","1",1,"1","1","0","0.25","6","1"
"Yes","Extremely unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Slightly important","No more than a regular taxi/ride-share",1,2,3,4,"Extremely uncomfortable","Using technology as an excuse to replace human responsibility.","Maybe","None.","Maybe","56+","$50,001 - $75,000","Suburban","-2","-2","-2","-1","-2",1,"1","0","0","0","3","2"
"Yes","Somewhat likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Very important","No more than a regular taxi/ride-share",4,1,3,2,"Somewhat comfortable",NA,"Maybe",NA,"Maybe","18 - 25","$50,001 - $75,000","Rural","1","2","0","1","1",1,"1","0","0","0","3","1"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","No","Neutral","Extremely important","Up to 100% more (double)",1,2,3,4,"Somewhat comfortable","Manufacturer ","Yes","When I am in shortage of time","Yes","18 - 25","$75,001 - $100,000","Suburban","1","2","0","2","1",1,"-1","1","1","1","4","2"
"Yes","Somewhat unlikely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Moderately important","No more than a regular taxi/ride-share",2,1,3,4,"Somewhat uncomfortable","Being unreliable at first, nothing is perfect at the beginning, and I personally wouldn't like to be in the first designs unless they are thoroughly tested and deemed safe enough for travel for living things.","Maybe","If transportation somewhere as quickly as possible is needed, such as to a hospital","Maybe","18 - 25","Over $150,000","Suburban","-1","-1","-1","0","-1",1,"-1","0","0","0","6","2"
"Yes","Neutral","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Very important","Up to 25% more",1,2,3,4,"Extremely uncomfortable",NA,"Yes",NA,"Yes","56+","$100,001 - $150,000","Suburban","0","1","0","1","-2",1,"1","1","1","0.25","5","2"
"Yes","Extremely unlikely","Neutral","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important","More than double",1,2,3,4,"Extremely uncomfortable","Weather considerations ","Yes","None","No","56+","$100,001 - $150,000","Rural","-2","0","-1","0","-2",1,"1","1","-1","2","5","1"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 25% more",1,2,3,4,"Somewhat comfortable","Autonomous, Airway Congestion","Yes","Anytime","Maybe","56+","$50,001 - $75,000","Suburban","2","2","1","1","1",1,"1","1","0","0.25","3","2"
"Yes","Neutral","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Very important","Up to 25% more",1,2,3,4,"Neither comfortable nor uncomfortable","competency of operators; unforgiving nature of accidents","Yes","longer distances depending on cost / speed","Yes","56+","$100,001 - $150,000","Suburban","0","0","0","1","0",1,"1","1","1","0.25","5","2"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 25% more",2,1,3,4,"Somewhat comfortable","Availability and pricing","Maybe","If traffic is bad or I had to get somewhere quickly","Yes","18 - 25","Less than $25,000","Suburban","1","1","1","1","1",1,"1","0","1","0.25","1","2"
"Yes","Neutral","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Very important","Up to 50% more",1,2,3,4,"Somewhat uncomfortable","Emergency failure without pilot or flight controls.","Yes","Extreme congestion","No","56 - 55","Over $150,000","Suburban","0","-1","0","1","-1",1,"1","1","-1","0.5","6","2"
"Yes","Extremely unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Not at all important","No more than a regular taxi/ride-share",3,1,2,4,"Neither comfortable nor uncomfortable","They are a threat to aviation and aviation safety.  Keep drones grounded!","No","Never","No","36 - 45","Over $150,000","Suburban","-2","-2","-2","-2","0",1,"1","-1","-1","0","6","2"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Extremely important","Up to 50% more",1,3,2,4,"Somewhat comfortable","Collision avoidance and mechanical malfunction.","Yes","When traveling distances more than 20 miles.","Yes","56+","$25,000 - $50,000","Urban","2","2","2","2","1",1,"1","1","1","0.5","2","3"
"Yes","Somewhat unlikely","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Not at all important","No more than a regular taxi/ride-share",1,2,3,4,"Extremely uncomfortable","Propulsion systems, collision avoidance, operator training, maintenance availability ","Yes","Unknown ","No","56+","$75,001 - $100,000","Urban","-1","0","-1","-2","-2",1,"1","1","-1","0","4","3"
"Yes","Extremely unlikely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","Up to 25% more",1,3,2,4,"Somewhat uncomfortable","Licensing and competence of the pilot.  Overall safety, if no pilot.","Yes","None that I can think of.","Yes","56+","$100,001 - $150,000","Rural","-2","1","-1","1","-1",1,"1","1","1","0.25","5","1"
"Yes","Extremely unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",1,2,3,4,"Extremely uncomfortable","We do not have the talent, ability, or commitment for current air safety.  Flying taxi's is a shit show waiting to happen","Yes","Rural uncongested airspace by myself ","Maybe","56+","Over $150,000","Rural","-2","-2","-2","2","-2",1,"1","1","0","0","6","1"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Moderately important","Up to 50% more",1,2,3,4,"Somewhat comfortable","Whether or not they work! That remains to be seen","Yes","when it makes sense, to avoid traffic mainly and make a trip faster","Maybe","56+","Over $150,000","Urban","1","1","0","0","1",1,"1","1","0","0.5","6","3"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Not at all important","Up to 50% more",2,1,3,4,"Somewhat comfortable","As long as there is a human pilot, I have fewer concerns. No AI or “autonomous” taxis","Yes","Distances beyond 15 miles total distance and there are adequate transportation from landing to final destination","Maybe","46 - 55","Over $150,000","Suburban","1","1","0","-2","1",1,"1","1","0","0.5","6","2"
"Yes","Somewhat unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Very important","Up to 50% more",3,1,2,4,"Extremely comfortable","Avoiding mid air collisions, and avoiding cables and wires in the air.","Yes","Lake County to the Loop during periods of higher congestion","Maybe","56+","Over $150,000","Suburban","-1","-2","2","1","2",1,"1","1","0","0.5","6","2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important","Up to 25% more",3,1,2,4,"Somewhat uncomfortable","Licensing, qualification, training of pilots and maintenance of the aircraft.","Yes","Short trips less than 50nm.","Yes","56+","Over $150,000","Suburban","1","1","-1","0","-1",1,"1","1","1","0.25","6","2"
"Yes","Somewhat unlikely","Neutral","Commercial airplane (like American Airlines or Delta)","Yes","Somewhat unreliable","Moderately important","No more than a regular taxi/ride-share",1,3,2,4,"Neither comfortable nor uncomfortable","Crashes","Yes",NA,"Yes","18 - 25","$25,000 - $50,000","Suburban","-1","0","-1","0","0",1,"1","1","1","0","2","2"
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 25% more",1,2,3,4,"Extremely comfortable","Coordinating access in the national airspace without negatively impacting existing aircraft.","Yes","All situations would be a consideration.","Yes","56+",NA,"Suburban","-2","-2","2","0","2",1,"1","1","1","0.25",NA,"2"
"Yes","Extremely unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Slightly important","No more than a regular taxi/ride-share",1,2,3,4,"Somewhat uncomfortable","Certification and training of pilot operator and requirement for continuous training in simulators ","Maybe","If it is a short distance which my aircraft cannot operate","Maybe","56+","Over $150,000","Rural","-2","-1","0","-1","-1",1,"1","0","0","0","6","1"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 50% more",1,4,2,3,"Extremely comfortable","Cost effectiveness in comparison to traditional modes of transportation ","Yes","Getting from a point like a city center to an airport located outside of the city when timeliness is a factor","Yes","18 - 25","$100,001 - $150,000","Suburban","2","2","1","1","2",1,"1","1","1","0.5","5","2"
"Yes","Neutral","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","No more than a regular taxi/ride-share",1,2,3,4,"Neither comfortable nor uncomfortable","Reliability and safety","Yes","When time is of the essence, weather is conducive to safe operation, and the flying vehicle has a stellar safety history.","No","56+","Over $150,000","Urban","0","1","-1","1","0",1,"1","1","-1","0","6","3"
"Yes","Neutral","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Not at all important","Up to 25% more",1,2,3,4,"Somewhat comfortable","Integration with the existing traditional air traffic","Maybe","Cost convenience safety ","Maybe","36 - 45","Over $150,000","Rural","0","0","0","-2","1",1,"1","0","0","0.25","6","1"
"Yes","Neutral","Neutral","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Very important","No more than a regular taxi/ride-share",2,3,1,4,"Somewhat uncomfortable",NA,"No",NA,"Yes","18 - 25","$25,000 - $50,000","Urban","0","0","-1","1","-1",1,"-1","-1","1","0","2","3"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Extremely important","Up to 25% more",1,2,3,4,"Extremely comfortable","Infrastructure ","Yes","Time Critical ","Yes","56+","$50,001 - $75,000","Urban","2","2","2","2","2",1,"1","1","1","0.25","3","3"
"Yes","Somewhat unlikely","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta)","Yes","Somewhat unreliable","Very important","Up to 25% more",1,4,2,3,"Somewhat uncomfortable","Trust that development was vented beyond government regulations statutes.  ","Yes","Time savings or ease of execution. ","Maybe","56+","$100,001 - $150,000","Rural","-1","0","-1","1","-1",1,"1","1","0","0.25","5","1"
"Yes","Extremely likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Moderately important","Up to 50% more",2,3,1,4,"Somewhat comfortable","The first round of implementation where people are still getting used to it and adjusting to how air traffic will work. Once it’s been implemented for a while and people have begun to understand how it works I will feel way more comfortable. ","Yes","For distances that would be easier to fly rather than drive. If it would take hours in a car due to turns and other traffic but less time in an air taxi I would rather fly. ","Yes","18 - 25","Less than $25,000","Suburban","2","2","1","0","1",1,"1","1","1","0.5","1","2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Somewhat unlikely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat unreliable","Extremely important","Up to 25% more",2,4,3,1,"Somewhat uncomfortable","I don’t know much about them and they haven’t been around long so I’m a bit concerned about reliability and safety.","Yes","If I needed to be somewhere fast. ","Maybe","18 - 25","Less than $25,000","Suburban","-1","1","-1","2","-1",1,"-1","1","0","0.25","1","2"
"Yes","Extremely unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Extremely important","No more than a regular taxi/ride-share",1,2,3,4,"Somewhat uncomfortable","Unsafe to the general public","No","life or death emegency","No","56 - 55","Less than $25,000","Rural","-2","-2","-2","2","-1",1,"1","-1","-1","0","1","1"
"Yes","Extremely unlikely","Extremely uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Slightly important","Up to 50% more",1,2,3,4,"Somewhat uncomfortable","Are they automated, is the pilot qualified? How will airspace infrastructure compensate for this? Will a PPL be required? ","Maybe","Shuttle to airport ","Maybe","26 - 35","$50,001 - $75,000","Rural","-2","-2","-1","-1","-1",1,"1","0","0","0.5","3","1"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Very important","Up to 25% more",1,2,3,4,"Extremely comfortable","Congestion in the air - many AAM in the same airspace. Adequate air traffic control coordination of AAM and piloted aircraft.","Yes","City center to outlying areas.","Maybe","56+","Over $150,000","Suburban","1","1","1","1","2",1,"1","1","0","0.25","6","2"
"Yes","Neutral","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","No more than a regular taxi/ride-share",3,2,1,4,"Somewhat comfortable","Pipe dream will take a long time to happen ","Maybe","Travel to city center from airport hub","Maybe","56+","$75,001 - $100,000","Suburban","0","2","2","0","1",1,"1","0","0","0","4","2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Extremely important","No more than a regular taxi/ride-share",2,1,3,4,"Somewhat comfortable","air traffic congestion","Yes",NA,"Maybe","56+","$50,001 - $75,000","Rural","1","1","1","2","1",1,"1","1","0","0","3","1"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta)","Yes","Extremely reliable","Moderately important","Up to 100% more (double)",2,3,4,1,"Extremely comfortable","environmental concerns","Yes","when my destination is very far away","Yes","18 - 25","Less than $25,000","Suburban","2","2","2","0","2",1,"1","1","1","1","1","2"
"Yes","Extremely likely","Extremely interested","Private airplane","Yes","Extremely reliable","Very important","Up to 100% more (double)",NA,NA,NA,NA,"Somewhat comfortable",NA,"Yes",NA,"Yes","56+","$50,001 - $75,000","Rural","2","2","2","1","1",1,"1","1","1","1","3","1"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","Up to 25% more",2,1,3,4,"Extremely comfortable","Manufacturers and company sops cutting corners off the rip","Yes","Going to the airport ","Yes","18 - 25","$75,001 - $100,000","Suburban","2","2","2","0","2",1,"1","1","1","0.25","4","2"
"Yes","Neutral","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Slightly important","Up to 25% more",1,2,3,4,"Somewhat uncomfortable","People are pushing a technology that is not there yet","Yes","When I’ve run out of other options","Maybe","46 - 55","$100,001 - $150,000","Rural","0","0","-1","-1","-1",1,"1","1","0","0.25","5","1"
"Yes","Somewhat unlikely","Somewhat uninterested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Moderately important","No more than a regular taxi/ride-share",3,2,1,4,"Somewhat uncomfortable","Weather","Yes","Short trips","Yes","36 - 45","$100,001 - $150,000","Rural","-1","-1","0","0","-1",1,"1","1","1","0","5","1"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Slightly important","Up to 100% more (double)",2,1,3,4,"Somewhat comfortable","I have a private pilot license and am not interested in roadable aircraft. Simple bumps or sabotage could make them not airworthy. I am interested in air taxis.","Yes","Old age unable to drive","Yes","56+","$75,001 - $100,000","Suburban","1","1","0","-1","1",1,"1","1","1","1","4","2"
"Yes","Neutral","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","No more than a regular taxi/ride-share",1,2,3,4,"Neither comfortable nor uncomfortable","The cadre of operators ","Yes","If no other timely surface options were available ","Maybe","56+","Over $150,000","Suburban","0","0","-1","1","0",1,"1","1","0","0","6","2"
"Yes","Somewhat unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Extremely important","No more than a regular taxi/ride-share",2,1,3,4,"Extremely uncomfortable","Environmental clutter","Maybe","Traffic","No","56+","Over $150,000","Rural","-1","-1","-1","2","-2",1,"1","0","-1","0","6","1"
"Yes","Somewhat likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","Up to 50% more",1,2,3,4,"Neither comfortable nor uncomfortable","Crowded airspace, noise, weather factors","Yes","To bypass busy city traffic or long distances","Maybe","18 - 25","$100,001 - $150,000","Suburban","1","2","-1","1","0",1,"1","1","0","0.5","5","2"
"Yes","Somewhat unlikely","Extremely uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Moderately important","No more than a regular taxi/ride-share",3,1,2,4,"Extremely uncomfortable",NA,"Yes","Avoid traffic congestion ","Yes","56+",NA,"Suburban","-1","-2","2","0","-2",1,"1","1","1","0",NA,"2"
"Yes","Somewhat likely","Somewhat interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","No more than a regular taxi/ride-share",2,1,4,3,"Neither comfortable nor uncomfortable","Interaction with existing air traffic","Yes","Areas of road construction, going places where I don't want to have a car","Maybe","18 - 25","Less than $25,000","Suburban","1","1","-1","1","0",1,"1","1","0","0","1","2"
"Yes","Extremely unlikely","Somewhat uninterested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Neutral","Extremely important","More than double",1,2,3,4,"Somewhat uncomfortable","Air traffic control. Bad enough now with the current system. Not just anybody can be a PILOT","No","Air traffic control. Training of the potential pilot","Maybe","56+","Over $150,000","Urban","-2","-1","0","2","-1",1,"1","-1","0","2","6","3"
"Yes","Somewhat unlikely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat reliable","Extremely important","No more than a regular taxi/ride-share",2,3,1,4,"Somewhat uncomfortable","Safety.","Yes","When I need to get somewhere urgently. ","Yes","26 - 35","Less than $25,000","Suburban","-1","1","1","2","-1",1,"1","1","1","0","1","2"
"Yes","Somewhat likely","Extremely interested","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","No","Somewhat reliable","Extremely important","Up to 50% more",2,1,3,4,"Somewhat comfortable","Nothing ","Yes","Going inside and out of the airport ","Yes","26 - 35","Less than $25,000","Urban","1","2","1","2","1",1,"-1","1","1","0.5","1","3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta),Private airplane","Maybe","Neutral","Moderately important","Up to 25% more",2,4,1,3,"Somewhat comfortable",NA,"Yes",NA,"Yes","18 - 25","$100,001 - $150,000","Suburban","1","1","0","0","1",1,"0","1","1","0.25","5","2"
"Yes","Extremely unlikely","Neutral","Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely unreliable","Moderately important","No more than a regular taxi/ride-share",1,2,3,4,"Extremely uncomfortable","Loss of control","Yes","None","Maybe","56+","$25,000 - $50,000","Suburban","-2","0","-2","0","-2",1,"1","1","0","0","2","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Moderately important","No more than a regular taxi/ride-share",2,1,3,4,"Extremely comfortable","If these ever evolve beyond a way to separate easily fleeced speculative investors from their money, they will eventually become just one more way for the super wealthy to avoid the unwashed masses.  Meere mortals will NEVER be able to afford using them.","No","Only if piloted in person by an FAA certified Commercial rotocraft pilot.","No","56+",NA,"Rural","2","2","-1","0","2",1,"1","-1","-1","0",NA,"1"
"Yes","Somewhat likely","Somewhat interested","Private airplane","Yes","Neutral","Very important","Up to 50% more",4,2,3,1,"Neither comfortable nor uncomfortable","Pilotage and reliability","Yes","After extensive testing, and if operated by a pilot, any situation. ","Maybe","56+","$75,001 - $100,000","Rural","1","1","0","1","0",1,"1","1","0","0.5","4","1"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","Yes","Neutral","Moderately important","Up to 25% more",3,1,2,4,"Somewhat comfortable","Just the unknown","Yes",NA,"Yes","46 - 55","Over $150,000","Suburban","1","1","0","0","1",1,"1","1","1","0.25","6","2"
"Yes","Extremely likely","Extremely interested","Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Extremely reliable","Extremely important","Up to 25% more",1,2,3,4,"Extremely comfortable","Technology and regulatory issues are not coming together fast enough","Yes","Every time","Yes","46 - 55","Over $150,000","Rural","2","2","2","2","2",1,"1","1","1","0.25","6","1"
"Yes","Somewhat likely","Somewhat interested","Commercial airplane (like American Airlines or Delta)","No","Somewhat reliable","Very important","Up to 25% more",1,2,3,4,"Neither comfortable nor uncomfortable",NA,"Yes",NA,"Maybe","26 - 35","$25,000 - $50,000","Suburban","1","1","1","1","0",1,"-1","1","0","0.25","2","2"
"Yes",NA,NA,"Helicopter,Commercial airplane (like American Airlines or Delta),Private airplane","Yes","Somewhat unreliable","Very important","Up to 100% more (double)",1,2,3,4,"Somewhat uncomfortable","cyber cecurity is concern. poor maintenance practices by the operator may lead to safety. noise and debries will make it impossible to land anywhere residential, which will require a deticated landing zone so no different from currently available helicopters.","Yes","to save time if traveling to areas known to have traffic congestion, or avoid driving through unsafe area.","Maybe","36 - 45","Over $150,000","Suburban",NA,NA,"-1","1","-1",1,"1","1","0","1","6","2"
